gem_id,name,name_other,country,lat,lon,status,kind,wkt
100000321193,"Raia Pintada Gas Field (Rio de Janeiro, Brazil)",['Gávea'],,-23.3117,-40.1806,,GOGET,"MULTIPOLYGON (((-40.1380208333333 -23.3567708333333,-40.1458333333333 -23.3567708333333,-40.1458333333333 -23.3671875,-40.1510416666667 -23.3671875,-40.1510416666667 -23.3776041666667,-40.1666666666667 -23.3776041666667,-40.1666666666667 -23.3880208333333,-40.1796875 -23.3880208333333,-40.1796875 -23.390625,-40.1848958333333 -23.390625,-40.1848958333333 -23.3958333333333,-40.1901041666667 -23.3958333333333,-40.1901041666667 -23.3984375,-40.1953125 -23.3984375,-40.1953125 -23.4036458333333,-40.2005208333333 -23.4036458333333,-40.2005208333333 -23.5005067823562,-40.203125 -23.5005067757269,-40.2057291666667 -23.5005067690971,-40.2083333333333 -23.500506762467,-40.2109375 -23.5005067558364,-40.2135416666667 -23.5005067492055,-40.2161458333333 -23.5005067425741,-40.21875 -23.5005067359423,-40.2213541666667 -23.5005067293102,-40.2239583333333 -23.5005067226776,-40.2265625 -23.5005067160446,-40.2291666666667 -23.5005067094113,-40.2317708333333 -23.5005067027775,-40.234375 -23.5005066961433,-40.2369791666667 -23.5005066895088,-40.2395833333333 -23.5005066828738,-40.2421875 -23.5005066762384,-40.2447916666667 -23.5005066696027,-40.2473958333333 -23.5005066629665,-40.2503970523194 -23.5005066563299,-40.2503970445173 -23.4979024761304,-40.2503970367162 -23.4952982959298,-40.2503970289164 -23.4926941157282,-40.2503970211176 -23.4900899355255,-40.2503970133199 -23.4874857553218,-40.2503970055234 -23.484881575117,-40.250396997728 -23.4822773949112,-40.2503969899338 -23.4796732147043,-40.2503969821406 -23.4770690344964,-40.2503969743486 -23.4744648542874,-40.2503969665577 -23.4718606740774,-40.2503969587679 -23.4692564938664,-40.2503969509793 -23.4666523136543,-40.2503969431917 -23.4640481334412,-40.2503969354053 -23.461443953227,-40.2503969276201 -23.4588397730118,-40.2503969198359 -23.4562355927955,-40.2503969120529 -23.4536314125782,-40.250396904271 -23.4510272323598,-40.2503968964902 -23.4484230521404,-40.2503968887105 -23.4458188719199,-40.250396880932 -23.4432146916984,-40.2503968731545 -23.4406105114759,-40.2503968653783 -23.4380063312523,-40.2503968576031 -23.4354021510277,-40.250396849829 -23.432797970802,-40.2503968420561 -23.4301937905752,-40.2503968342843 -23.4275896103475,-40.2503968265136 -23.4249854301186,-40.250396818744 -23.4223812498888,-40.2503968109756 -23.4197770696579,-40.2503968032083 -23.4171728894259,-40.2503967954421 -23.4145687091929,-40.250396787677 -23.4119645289589,-40.2503967799131 -23.4093603487238,-40.2503967721502 -23.4067561684876,-40.2503967643885 -23.4041519882505,-40.2503967566279 -23.4015478080122,-40.2503967488685 -23.398943627773,-40.2503967411101 -23.3963394475326,-40.2503967333529 -23.3937352672913,-40.2503967255968 -23.3911310870489,-40.2503967178418 -23.3885269068054,-40.2503967100879 -23.3859227265609,-40.2503967023352 -23.3833185463154,-40.2503966945836 -23.3807143660688,-40.2503966868331 -23.3781101858212,-40.2503966790837 -23.3755060055725,-40.2503966713354 -23.3729018253228,-40.2503966635883 -23.370297645072,-40.2503966558423 -23.3676934648202,-40.2503966480974 -23.3650892845673,-40.2503966403536 -23.3624851043134,-40.2503966326109 -23.3598809240585,-40.2503966248694 -23.3572767438025,-40.2503966171289 -23.3546725635454,-40.2503966093896 -23.3520683832874,-40.2503966016514 -23.3494642030282,-40.2503965939144 -23.3468600227681,-40.2503965861784 -23.3442558425069,-40.2503965784436 -23.3416516622446,-40.2503965707099 -23.3390474819813,-40.2503965629773 -23.3364433017169,-40.2503965552458 -23.3338391214515,-40.2503965475155 -23.3312349411851,-40.2503965397862 -23.3286307609176,-40.2503965320581 -23.3260265806491,-40.2503965243311 -23.3234224003795,-40.2503965166053 -23.3208182201089,-40.2503965088805 -23.3182140398373,-40.2503965011568 -23.3156098595646,-40.2503964934343 -23.3130056792908,-40.2503964857129 -23.310401499016,-40.2503964779926 -23.3077973187402,-40.2503964702735 -23.3051931384633,-40.2503964625554 -23.3025889581854,-40.2503964548385 -23.2999847779064,-40.2503964471226 -23.2973805976264,-40.2503964394079 -23.2947764173453,-40.2503964316943 -23.2921722370632,-40.2503964239819 -23.2895680567801,-40.2503964162705 -23.2869638764959,-40.2503964085603 -23.2843596962107,-40.2503964008512 -23.2817555159244,-40.2503963931432 -23.2791513356371,-40.2503963854363 -23.2765471553487,-40.2503963777305 -23.2739429750593,-40.2503963700259 -23.2713387947688,-40.2503963623223 -23.2687346144773,-40.2503963546199 -23.2661304341848,-40.2503963469186 -23.2635262538912,-40.2503963392184 -23.2609220735966,-40.2503963315193 -23.2583178933009,-40.2503963238214 -23.2557137130042,-40.2503963161245 -23.2531095327064,-40.2503963084288 -23.2505053524076,-40.2477921178172 -23.2505053589778,-40.2451879272048 -23.2505053655475,-40.2425837365915 -23.2505053721168,-40.2399795459775 -23.2505053786858,-40.2373753553626 -23.2505053852543,-40.2347711647469 -23.2505053918224,-40.2321669741304 -23.2505053983902,-40.229562783513 -23.2505054049575,-40.2269585928949 -23.2505054115245,-40.2243544022759 -23.250505418091,-40.2217502116561 -23.2505054246572,-40.2191460210355 -23.2505054312229,-40.2165418304141 -23.2505054377883,-40.2139376397918 -23.2505054443533,-40.2113334491688 -23.2505054509178,-40.2087292585449 -23.250505457482,-40.2061250679202 -23.2505054640458,-40.2035208772947 -23.2505054706091,-40.2009166866683 -23.2505054771721,-40.1983124960412 -23.2505054837347,-40.1957083054132 -23.2505054902969,-40.1931041147844 -23.2505054968587,-40.1904999241548 -23.2505055034201,-40.1878957335244 -23.250505509981,-40.1852915428931 -23.2505055165416,-40.1826873522611 -23.2505055231018,-40.1800831616282 -23.2505055296616,-40.1774789709945 -23.250505536221,-40.17487478036 -23.25050554278,-40.1722705897247 -23.2505055493386,-40.1696663990885 -23.2505055558969,-40.1670622084516 -23.2505055624547,-40.1644580178138 -23.2505055690121,-40.1618538271752 -23.2505055755691,-40.1592496365358 -23.2505055821257,-40.1566454458955 -23.2505055886819,-40.1540412552545 -23.2505055952378,-40.1514370646126 -23.2505056017932,-40.1488328739699 -23.2505056083482,-40.1462286833264 -23.2505056149029,-40.1436244926821 -23.2505056214571,-40.141020302037 -23.2505056280109,-40.1384161113911 -23.2505056345644,-40.1358119207443 -23.2505056411174,-40.1332077300967 -23.2505056476701,-40.1306035394483 -23.2505056542223,-40.1279993487991 -23.2505056607742,-40.125395158149 -23.2505056673256,-40.1227909674982 -23.2505056738767,-40.1201867768465 -23.2505056804273,-40.1175825861941 -23.2505056869776,-40.1149783955408 -23.2505056935274,-40.1123742048866 -23.2505057000769,-40.1097700142317 -23.250505706626,-40.107165823576 -23.2505057131746,-40.1045616329194 -23.2505057197229,-40.101957442262 -23.2505057262708,-40.0993532516038 -23.2505057328183,-40.0967490609448 -23.2505057393653,-40.094144870285 -23.250505745912,-40.0915406796244 -23.2505057524583,-40.0889364889629 -23.2505057590042,-40.0863322983006 -23.2505057655497,-40.0837281076376 -23.2505057720948,-40.0811239169736 -23.2505057786394,-40.0785197263089 -23.2505057851837,-40.0759155356434 -23.2505057917276,-40.073311344977 -23.2505057982711,-40.0707071543099 -23.2505058048142,-40.0681029636419 -23.2505058113569,-40.0654987729731 -23.2505058178992,-40.0628945823035 -23.2505058244411,-40.0602903916331 -23.2505058309827,-40.0576862009618 -23.2505058375238,-40.0550820102898 -23.2505058440645,-40.0524778196169 -23.2505058506048,-40.0498736289432 -23.2505058571447,-40.0472694382687 -23.2505058636842,-40.0446652475934 -23.2505058702233,-40.0420610569173 -23.2505058767621,-40.0394568662403 -23.2505058833004,-40.0368526755626 -23.2505058898383,-40.034248484884 -23.2505058963758,-40.0316442942046 -23.250505902913,-40.0290401035244 -23.2505059094497,-40.0264359128434 -23.250505915986,-40.0238317221616 -23.250505922522,-40.0212275314789 -23.2505059290575,-40.0186233407954 -23.2505059355926,-40.0160191501112 -23.2505059421274,-40.0134149594261 -23.2505059486617,-40.0108107687402 -23.2505059551957,-40.0082065780535 -23.2505059617292,-40.0056023873659 -23.2505059682624,-40.0029981966776 -23.2505059747951,-40.0003940059884 -23.2505059813275,-40.0003940136394 -23.2531101616926,-40.0003940212916 -23.2557143420567,-40.0003940289448 -23.2583185224197,-40.0003940365991 -23.2609227027817,-40.0003940442546 -23.2635268831427,-40.0003940519112 -23.2661310635025,-40.0003940595688 -23.2687352438614,-40.0003940672276 -23.2713394242192,-40.0003940748875 -23.273943604576,-40.0003940825485 -23.2765477849317,-40.0003940902106 -23.2791519652864,-40.0003940978738 -23.28175614564,-40.0003941055382 -23.2843603259926,-40.0003941132036 -23.2869645063441,-40.0003941208701 -23.2895686866946,-40.0003941285378 -23.2921728670441,-40.0003941362066 -23.2947770473925,-40.0003941438765 -23.2973812277398,-40.0003941515475 -23.2999854080861,-40.0003941592196 -23.3025895884314,-40.0003941668928 -23.3051937687756,-40.0003941745671 -23.3077979491188,-40.0003941822426 -23.3104021294609,-40.0003941899191 -23.313006309802,-40.0003941975968 -23.3156104901421,-40.0003942052755 -23.318214670481,-40.0003942129554 -23.320818850819,-40.0003942206364 -23.3234230311559,-40.0003942283185 -23.3260272114918,-40.0003942360017 -23.3286313918266,-40.0003942436861 -23.3307291666667,-40.1380208333333 -23.3307291666667,-40.1380208333333 -23.3567708333333)))"
100000319989,"Pierson - Tallahassee Exploration Oil Asset (Manitoba, Canada)",,canada,49.179,-101.316,,GOGET,
100000309226,"11494/Athabasca Oil and Gas Asset (Alberta, Canada)",,canada,55.828,-114.064,,GOGET,
100000319628,Marjan Expansion Oil and Gas Phase (Saudi Arabia),,,28.4389,49.6746,,GOGET,
100000321437,"Boonsville (Bend Congl.Gas) - Bkv Barnett Oil and Gas Asset (Texas, United States)",,united states,33.1688,-97.5715,,GOGET,
100000321453,"Briscoe Ranch (Eagleford) - Gulftex Energy Oil and Gas Asset (Texas, United States)",,united states,28.3513,-99.6229,,GOGET,
100000317310,"La Ribera I Oil and Gas Block (Neuquén, Argentina)",,argentina,-38.431,-69.017,,GOGET,"MULTIPOLYGON (((-69.0488023789999 -38.448163101,-69.054035052 -38.4463430399999,-69.056310127 -38.442475413,-69.058130186 -38.437015232,-69.059495231 -38.4308725289999,-69.059495232 -38.4254123489999,-69.058585202 -38.4226822589999,-69.0565376339999 -38.420407183,-69.0506224379999 -38.419497153,-69.0428871829999 -38.419497153,-69.031056791 -38.418814631,-69.0158137879999 -38.417449586,-69.0001157689999 -38.416994571,-68.988512885 -38.416767063,-68.978730061 -38.416767063,-68.970084776 -38.416767063,-68.963714566 -38.418359616,-68.962349521 -38.4213172139999,-68.962349521 -38.424274811,-68.9725873579999 -38.430645021,-68.9891954079999 -38.4376977549999,-68.998978231 -38.441792891,-69.008533547 -38.4463430399999,-69.017861356 -38.447708086,-69.036971987 -38.448618116,-69.0488023789999 -38.448163101)))"
100000321704,"Hawkville (Eagleford Shale) - Lewis Petro Properties, (Conventional) Oil and Gas Asset (Texas, United States)",,united states,31.321231,-99.810632,,GOGET,
100000322960,"Alkali Creek - Hess Bakken Investments Ii, Llc Oil and Gas Asset (North Dakota, United States)",,united states,48.1795,-102.7584,,GOGET,
100000323246,"Squires - Oasis Petroleum North America Llc Oil and Gas Asset (North Dakota, United States)",,united states,48.2616,-103.8115,,GOGET,
